"O","H","L","C","V","T","BV","market"
11400,11479.592,11383.60000001,11425,78.87009929,"2018-01-29T10:00:00",902247.11855652,"USDT-BTC"
11425,11442.99999987,11142,11217,339.26831945,"2018-01-29T11:00:00",3851109.63522353,"USDT-BTC"
11217,11366.99999999,11217,11249.1,151.12688556,"2018-01-29T12:00:00",1705103.80182525,"USDT-BTC"
11240.00000001,11383.67299999,11222.3,11376,89.02643644,"2018-01-29T13:00:00",1006812.17804248,"USDT-BTC"
11367,11419.964,11300,11362,94.11528784,"2018-01-29T14:00:00",1070681.6886456,"USDT-BTC"
11362,11420,11275,11420,84.23007409,"2018-01-29T15:00:00",956491.66397307,"USDT-BTC"
11420,11500,11305,11385,115.8959732,"2018-01-29T16:00:00",1323923.67209393,"USDT-BTC"
11385,11500,11372,11402.00000003,95.93132363,"2018-01-29T17:00:00",1096818.37370283,"USDT-BTC"
11465.99084414,11465.99084414,11333,11390.381,79.15209098,"2018-01-29T18:00:00",899921.35506803,"USDT-BTC"
11390.381,11390.381,11247.61894718,11259,96.19130764,"2018-01-29T19:00:00",1087294.89309834,"USDT-BTC"
11251,11339.49999944,11251,11281,75.04690049,"2018-01-29T20:00:00",846994.01542836,"USDT-BTC"
11281,11361,11250,11348,46.04872759,"2018-01-29T21:00:00",520231.52168537,"USDT-BTC"
11348,11348.42860996,11111,11147.01,152.47980463,"2018-01-29T22:00:00",1710689.23914863,"USDT-BTC"
11148,11308.69999999,11147.01,11297.73999998,84.33132879,"2018-01-29T23:00:00",947155.41752318,"USDT-BTC"
11252,11297.73999999,11172,11260,74.14056656,"2018-01-30T00:00:00",832992.82471933,"USDT-BTC"
11260,11260,10925,10938.07199995,274.55385429,"2018-01-30T01:00:00",3035833.95322424,"USDT-BTC"
10973.99999999,11050,10929,10991.9999999,113.63194143,"2018-01-30T02:00:00",1251308.03204806,"USDT-BTC"
10991.99999997,11014,10831.97836362,10998,191.1571537,"2018-01-30T03:00:00",2088031.62260838,"USDT-BTC"
10995.49459091,11129.99999998,10976.49459091,11035,128.60084428,"2018-01-30T04:00:00",1424280.43321949,"USDT-BTC"
11035,11119,11025,11025,100.6603788,"2018-01-30T05:00:00",1113011.36194939,"USDT-BTC"
11025,11093.18,10980,10981.1,114.31306996,"2018-01-30T06:00:00",1259622.10732054,"USDT-BTC"
10981.30000002,11146.93899999,10935,11146.93899995,119.17804384,"2018-01-30T07:00:00",1311314.98831918,"USDT-BTC"
11146.93899986,11189.99999999,11033.49989999,11115.00000002,73.4114254,"2018-01-30T08:00:00",817324.32383409,"USDT-BTC"
11146.45999999,11146.45999999,10900,10929.77212707,97.2341007,"2018-01-30T09:00:00",1067187.84503383,"USDT-BTC"
10915.10000011,11022.59999999,10878,11000,80.77363931,"2018-01-30T10:00:00",882933.34269989,"USDT-BTC"
11000,11047,10900,11000.00000002,78.82771275,"2018-01-30T11:00:00",865910.16137122,"USDT-BTC"
11000,11085,10896.585,10950,62.1163991,"2018-01-30T12:00:00",682208.29194285,"USDT-BTC"
10950,10950,10500,10531,536.06170685,"2018-01-30T13:00:00",5709507.05508346,"USDT-BTC"
10560,10700,10470.04162417,10561.1,442.21067744,"2018-01-30T14:00:00",4670345.05217184,"USDT-BTC"
10561.1,10593,10223.77905037,10332.00000001,552.13288021,"2018-01-30T15:00:00",5715913.37896899,"USDT-BTC"
10332.10000001,10490,10332.00000001,10419.99999999,170.49919059,"2018-01-30T16:00:00",1774017.0265424,"USDT-BTC"
10370.4996,10489.99999969,10223.00000012,10223.00000012,173.52943818,"2018-01-30T17:00:00",1798320.6679436,"USDT-BTC"
10223.00000002,10223.00000002,9806.117,10020.45487754,1116.82825701,"2018-01-30T18:00:00",11194595.64543692,"USDT-BTC"
10075,10486,9930,10397.99999998,611.96129577,"2018-01-30T19:00:00",6262383.28617289,"USDT-BTC"
10397.99999998,10399.89599999,10150,10175,266.29814358,"2018-01-30T20:00:00",2732405.32346116,"USDT-BTC"
10175,10360.99999998,10101.99,10289.99999999,183.64205192,"2018-01-30T21:00:00",1884384.24722495,"USDT-BTC"
10280,10550,10280,10330,190.04828097,"2018-01-30T22:00:00",1979649.0628307,"USDT-BTC"
10345,10370,10030.00000009,10240.23092367,241.76871905,"2018-01-30T23:00:00",2467808.46694836,"USDT-BTC"
10229.99,10240.23092366,9800.86,9819.696457,409.93799975,"2018-01-31T00:00:00",4086945.17687143,"USDT-BTC"
9835.69854303,10050,9680.24810672,9980.0000001,546.10200832,"2018-01-31T01:00:00",5389579.19943227,"USDT-BTC"
9985.52,10234.99999999,9982,10201,197.16301129,"2018-01-31T02:00:00",1988776.58062421,"USDT-BTC"
10201,10201,9950,10001,122.32184788,"2018-01-31T03:00:00",1230947.18876071,"USDT-BTC"
10001,10039.19299992,9900,9956.39626718,301.01724857,"2018-01-31T04:00:00",2990542.75416673,"USDT-BTC"
9956.39626717,10129.99899998,9819.19299998,10085,128.87176346,"2018-01-31T05:00:00",1284317.85877252,"USDT-BTC"
10085,10270.99999998,10000.80000002,10188.33540063,181.79850003,"2018-01-31T06:00:00",1844324.20227866,"USDT-BTC"
10188.33540063,10308,10157.68069442,10258.99999,103.07590957,"2018-01-31T07:00:00",1056585.41151206,"USDT-BTC"
10269,10350.62001474,10177,10223,104.66379874,"2018-01-31T08:00:00",1074520.12163836,"USDT-BTC"
10200.020202,10245.10682963,10000,10164.89999997,145.01513425,"2018-01-31T09:00:00",1464898.03124485,"USDT-BTC"
10164.89999997,10280.69799999,10138.89999997,10200,82.40340542,"2018-01-31T10:00:00",841517.24015298,"USDT-BTC"
10200,10351.05399455,10109.99999999,10300,113.2099381,"2018-01-31T11:00:00",1161256.70477093,"USDT-BTC"
10296,10394,10296,10389.79674434,110.50187981,"2018-01-31T12:00:00",1140934.55203447,"USDT-BTC"
10389.79674434,10393.99999997,10158.06186944,10162.01610001,156.73648396,"2018-01-31T13:00:00",1611138.0215185,"USDT-BTC"
10162.01610001,10200.00000002,9908.49507168,9925.003,208.61803497,"2018-01-31T14:00:00",2098408.88045176,"USDT-BTC"
9981.856,10085,9927.80586058,10015.99,124.69289885,"2018-01-31T15:00:00",1250272.01448033,"USDT-BTC"
10015.99,10086,9801.4136,10086,230.88352638,"2018-01-31T16:00:00",2296632.36288597,"USDT-BTC"
10088,10157,10000.00000006,10022.797,113.76809947,"2018-01-31T17:00:00",1148709.59225087,"USDT-BTC"
10009.79999998,10140,10009.79999998,10024.99999999,74.81813626,"2018-01-31T18:00:00",755306.07332388,"USDT-BTC"
10024.99999999,10100,9999.99,10090.00000001,73.72079559,"2018-01-31T19:00:00",741267.01789261,"USDT-BTC"
10100,10195.99999999,10080,10182.61026137,54.86672609,"2018-01-31T20:00:00",556728.66745674,"USDT-BTC"
10182.61026137,10198.99999999,10081,10112.99999998,80.52894165,"2018-01-31T21:00:00",817022.76921313,"USDT-BTC"
10112.99999998,10240,10100.1,10200,85.17663638,"2018-01-31T22:00:00",864334.46529897,"USDT-BTC"
10209.99999999,10256,10104.494,10256,82.98036684,"2018-01-31T23:00:00",845770.38125098,"USDT-BTC"
10256,10329.79999998,10208.4002,10222.0716213,75.26573544,"2018-02-01T00:00:00",773838.32022788,"USDT-BTC"
10222.08162149,10319.99999997,10161,10218.80999999,74.02443179,"2018-02-01T01:00:00",759013.25770988,"USDT-BTC"
10218.80999999,10290,10186.52230224,10192.90782199,47.98435282,"2018-02-01T02:00:00",491705.88049658,"USDT-BTC"
10192.90782199,10242.44999969,9959,10078.9,74.60651319,"2018-02-01T03:00:00",751782.3671166,"USDT-BTC"
10078.9,10289.22,10025.00000002,10234,50.36276837,"2018-02-01T04:00:00",512098.51934237,"USDT-BTC"
10234,10286.294,10190.23600001,10272,39.47751697,"2018-02-01T05:00:00",404803.32349365,"USDT-BTC"
10262.09999,10270.99999999,10100,10140,63.48859428,"2018-02-01T06:00:00",645379.10913133,"USDT-BTC"
10140,10200,10100,10102.93000001,50.2111295,"2018-02-01T07:00:00",509473.13780836,"USDT-BTC"
10110,10120,9810,9948.22949914,626.21967188,"2018-02-01T08:00:00",6228199.42007733,"USDT-BTC"
9904.64000002,9972,9632,9633.32100003,600.76732014,"2018-02-01T09:00:00",5873696.17286522,"USDT-BTC"
9633.32100003,9701.22963914,9550,9555,580.6308406,"2018-02-01T10:00:00",5575646.68808015,"USDT-BTC"
9555,9699.99000002,9501.00000003,9606,230.77732806,"2018-02-01T11:00:00",2210696.43964569,"USDT-BTC"
9605,9642.01,9389.65102653,9480.99,477.38989127,"2018-02-01T12:00:00",4518194.65810421,"USDT-BTC"
9480.99,9481,9300,9322.99999999,368.03107973,"2018-02-01T13:00:00",3445417.70996108,"USDT-BTC"
9322.99999999,9607.647,9305.00000001,9380.1,276.28540533,"2018-02-01T14:00:00",2609364.651183,"USDT-BTC"
9380.1,9450,9300.00000001,9320,165.70608109,"2018-02-01T15:00:00",1551051.4407056,"USDT-BTC"
9320,9321,9051,9085.21,911.61630642,"2018-02-01T16:00:00",8397912.7034609,"USDT-BTC"
9072.99917738,9220,9051,9148,250.37749278,"2018-02-01T17:00:00",2283240.0554002,"USDT-BTC"
9120.02,9216.15034589,9085,9117,163.65277318,"2018-02-01T18:00:00",1497075.92954767,"USDT-BTC"
9110,9145.19999999,8924.11,9013,463.44245647,"2018-02-01T19:00:00",4176567.88615245,"USDT-BTC"
9013,9490,8803,9398.12745,802.03359015,"2018-02-01T20:00:00",7307123.43727482,"USDT-BTC"
9398.12745,9538.06999997,9241.69,9320,446.25329905,"2018-02-01T21:00:00",4194024.80799145,"USDT-BTC"
9333.01,9389.99999998,9150,9151.02000003,261.40400137,"2018-02-01T22:00:00",2417532.03943367,"USDT-BTC"
9151.9351,9338.00000001,9150,9248.12485599,165.22585632,"2018-02-01T23:00:00",1526131.64418913,"USDT-BTC"
9231.84326197,9231.84326197,8837.09250001,8847.35042043,426.49530183,"2018-02-02T00:00:00",3825987.679372,"USDT-BTC"
8873.00719999,9013.01,8721.01000001,8772.99999983,553.35488679,"2018-02-02T01:00:00",4883334.81696284,"USDT-BTC"
8787.24139997,9076.142,8766.62100004,9076.142,265.9377144,"2018-02-02T02:00:00",2348853.64482988,"USDT-BTC"
9076.142,9137.31600903,8772.52,8863.84871716,204.28826163,"2018-02-02T03:00:00",1836167.69144179,"USDT-BTC"
8863.84871716,8940,8717.00000001,8876.38999999,209.72402512,"2018-02-02T04:00:00",1848193.42721983,"USDT-BTC"
8846.4,8877.7856,8727.11,8736.96000002,421.91367998,"2018-02-02T05:00:00",3701184.41324839,"USDT-BTC"
8739.3156671,8809.85761675,8514.57771095,8725,700.24481068,"2018-02-02T06:00:00",6047282.8866809,"USDT-BTC"
8720,8912.08561937,8650,8656.191,376.22973265,"2018-02-02T07:00:00",3294096.83390964,"USDT-BTC"
8706.530357,8730,8450,8500.00000001,547.81722082,"2018-02-02T08:00:00",4671081.6057847,"USDT-BTC"
8500,8639.59399999,8301.0101,8552.00000001,513.76888249,"2018-02-02T09:00:00",4336592.47065268,"USDT-BTC"
8550,8550,8300.00000002,8325.54300001,278.15812323,"2018-02-02T10:00:00",2331977.5665255,"USDT-BTC"
8329.00000001,8378,8199,8308.76652964,486.23326002,"2018-02-02T11:00:00",4023262.33128924,"USDT-BTC"
8308.76652964,8559.99999999,7947,8436.5433504,1464.62242357,"2018-02-02T12:00:00",11954486.14492778,"USDT-BTC"
8436.5433504,8947.36232956,7900,8945,2013.86559017,"2018-02-02T13:00:00",17431594.11315915,"USDT-BTC"
8945,9043.82075009,8544,8704.46000003,1122.92893421,"2018-02-02T14:00:00",9904893.28306416,"USDT-BTC"
8704.46000003,9089.99999999,8650,9089.99999998,412.02573542,"2018-02-02T15:00:00",3661760.40328273,"USDT-BTC"
9079.79999999,9222.22222222,8900,9150,470.00271693,"2018-02-02T16:00:00",4259293.78792883,"USDT-BTC"
9150,9150.99999977,8655,8756,382.42278126,"2018-02-02T17:00:00",3398472.13293486,"USDT-BTC"
8751,8893.002132,8560,8600,268.52698183,"2018-02-02T18:00:00",2338051.26405275,"USDT-BTC"
8600,8810.12699999,8490,8660,289.96033654,"2018-02-02T19:00:00",2498393.79721157,"USDT-BTC"
8697.39,8820.494,8620,8640,104.92867883,"2018-02-02T20:00:00",914194.67518259,"USDT-BTC"
8640,8693.47483,8580,8640.00000006,171.22024134,"2018-02-02T21:00:00",1474487.3049908,"USDT-BTC"
8629,8865,8580,8840,183.59222289,"2018-02-02T22:00:00",1599302.72968834,"USDT-BTC"
8830,8957.99999998,8790.00130818,8880,162.89677427,"2018-02-02T23:00:00",1450766.34419201,"USDT-BTC"
8880,8923.98,8740,8803.19,152.47468331,"2018-02-03T00:00:00",1346743.77509747,"USDT-BTC"
8811.99999999,8812,8500.00000009,8617.722,260.20326337,"2018-02-03T01:00:00",2242233.28958429,"USDT-BTC"
8617.722,8730,8550,8550,110.41815316,"2018-02-03T02:00:00",955686.11967064,"USDT-BTC"
8550.001,8582.97905103,8180.84,8305.00000001,979.78349759,"2018-02-03T03:00:00",8207805.4651223,"USDT-BTC"
8305,8522.60496986,8220,8445.55,320.10887505,"2018-02-03T04:00:00",2689937.12028062,"USDT-BTC"
8415.25840994,8543,8310,8541.98879999,117.35230861,"2018-02-03T05:00:00",986095.03892235,"USDT-BTC"
8541.98879999,8739.00000001,8430,8737.00000007,227.78176051,"2018-02-03T06:00:00",1960714.18197719,"USDT-BTC"
8737.10000007,8769.62,8626.46703833,8720,105.6100885,"2018-02-03T07:00:00",920074.26315312,"USDT-BTC"
8720,9000,8591,8979,223.22149078,"2018-02-03T08:00:00",1973806.17109895,"USDT-BTC"
8979,9065,8873.00000013,8924.60000001,231.08406117,"2018-02-03T09:00:00",2075165.2836278,"USDT-BTC"
8947,8947,8750,8800.06832568,122.1722496,"2018-02-03T10:00:00",1078865.08028611,"USDT-BTC"
8810,9099.00000001,8771,9099,212.25157232,"2018-02-03T11:00:00",1903365.63061482,"USDT-BTC"
9099,9159.72617421,8976.375,9057.62400002,226.26510658,"2018-02-03T12:00:00",2055794.7648422,"USDT-BTC"
9057.62400002,9315.112,8960.90512502,9280,262.29523508,"2018-02-03T13:00:00",2408263.12939427,"USDT-BTC"
9280,9450,9205.00000001,9400.50000002,296.68425043,"2018-02-03T14:00:00",2777001.56124417,"USDT-BTC"
9400.50000002,9504.729,9159,9199,451.21052336,"2018-02-03T15:00:00",4223090.84684434,"USDT-BTC"
9191,9309.99999998,9070,9309.98999998,267.62799605,"2018-02-03T16:00:00",2461794.09008494,"USDT-BTC"
9309.98999998,9396,9176.25574608,9212.27999999,166.01251399,"2018-02-03T17:00:00",1543776.66063382,"USDT-BTC"
9220.2,9414.80149401,9110,9399.99999998,160.95856574,"2018-02-03T18:00:00",1490297.67621951,"USDT-BTC"
9410.375,9440,9290,9315,204.32121708,"2018-02-03T19:00:00",1913426.61808397,"USDT-BTC"
9315,9495,9205.65,9250.9,173.61561608,"2018-02-03T20:00:00",1626189.66083532,"USDT-BTC"
9250.9,9322.79999996,9084.49318862,9120,211.30166002,"2018-02-03T21:00:00",1944680.82827306,"USDT-BTC"
9120.00000002,9193,9050,9060,106.03016872,"2018-02-03T22:00:00",965814.58643778,"USDT-BTC"
9090.29169442,9250,9002,9225.316,182.83958715,"2018-02-03T23:00:00",1660478.61617476,"USDT-BTC"
9229.928658,9300,9050,9057.00000001,98.56434332,"2018-02-04T00:00:00",904963.67998709,"USDT-BTC"
9079.99999998,9142.89999998,8940,8940,123.64795622,"2018-02-04T01:00:00",1117097.98123584,"USDT-BTC"
8959.552,9113.924,8908.00000001,9096.99999999,83.64355292,"2018-02-04T02:00:00",753097.27408619,"USDT-BTC"
9095.2709,9239,9043.49,9173,80.90631777,"2018-02-04T03:00:00",742640.9591406,"USDT-BTC"
9195,9226.8999999,9061,9112.79999988,91.76430481,"2018-02-04T04:00:00",837906.85709488,"USDT-BTC"
9090.7,9248.99,8990,9109.2,416.59522992,"2018-02-04T05:00:00",3793289.87033187,"USDT-BTC"
9244.79799999,9330.00000001,9109.21000002,9248.009,240.59530393,"2018-02-04T06:00:00",2226656.72271947,"USDT-BTC"
9248.00900001,9301,9160,9160.00000002,63.4064876,"2018-02-04T07:00:00",584080.85764224,"USDT-BTC"
9160.00000002,9253.21777343,9040,9100,144.79906057,"2018-02-04T08:00:00",1317757.54079635,"USDT-BTC"
9110,9117.78771199,8750,8828.10000006,334.95738496,"2018-02-04T09:00:00",2971203.72981512,"USDT-BTC"
8810.10000007,8881.24999986,8710.00000007,8803.50999999,373.70971119,"2018-02-04T10:00:00",3285669.48254193,"USDT-BTC"
8803.50999999,8999,8700,8700,262.87626058,"2018-02-04T11:00:00",2329705.58520456,"USDT-BTC"
8700,8719.99,8405.00000001,8693.87800001,559.94742799,"2018-02-04T12:00:00",4794111.69294455,"USDT-BTC"
8719.99,8779.99999999,8555.40000002,8710.76897915,176.55957853,"2018-02-04T13:00:00",1532762.823759,"USDT-BTC"
8710.76897915,8863.84871716,8630,8630,158.86367169,"2018-02-04T14:00:00",1394875.64062249,"USDT-BTC"
8630,8726.6510004,8326.00627801,8390.50000001,281.40759295,"2018-02-04T15:00:00",2383372.64563521,"USDT-BTC"
8390.50000001,8493.50841926,8261.68623836,8460,304.9822434,"2018-02-04T16:00:00",2554747.46465721,"USDT-BTC"
8469.388,8558.00000006,8384.18922002,8494.98999993,178.41819208,"2018-02-04T17:00:00",1514232.94533163,"USDT-BTC"
8480,8577,8300,8355,147.36928042,"2018-02-04T18:00:00",1237944.94566866,"USDT-BTC"
8355,8355,8200,8245,892.02599782,"2018-02-04T19:00:00",7399820.52462771,"USDT-BTC"
8274.04101989,8280,7902.002,8143.99,1065.95963079,"2018-02-04T20:00:00",8563414.14797815,"USDT-BTC"
8143.99,8277.98160673,8030.7956,8061,262.02512977,"2018-02-04T21:00:00",2138233.80265125,"USDT-BTC"
8085,8439.987,8050,8425,286.00152397,"2018-02-04T22:00:00",2367857.78475274,"USDT-BTC"
8425,8438,8150,8161.00001002,152.89565489,"2018-02-04T23:00:00",1270226.46619024,"USDT-BTC"
8180.01,8328.99999998,8161.00001002,8250,101.76939252,"2018-02-05T00:00:00",841578.34660169,"USDT-BTC"
8250,8250,7925,8048.49121407,278.13565779,"2018-02-05T01:00:00",2239455.5811828,"USDT-BTC"
8048.49121411,8145,7900,8030.10000009,222.68212633,"2018-02-05T02:00:00",1780034.04233136,"USDT-BTC"
8030.10000009,8250,8030.00000006,8150,181.77502421,"2018-02-05T03:00:00",1482075.51532959,"USDT-BTC"
8125.19000004,8328.99999998,8000,8282.1418,150.1623118,"2018-02-05T04:00:00",1226106.67674049,"USDT-BTC"
8282.1418,8374.78725715,8201,8236,121.49120097,"2018-02-05T05:00:00",1008702.53195993,"USDT-BTC"
8202.82,8334.99999992,8050.7,8074.99999996,110.88230678,"2018-02-05T06:00:00",908198.52788562,"USDT-BTC"
8069,8153.24828836,7920,7951.00000001,238.80221111,"2018-02-05T07:00:00",1910700.31124103,"USDT-BTC"
7975.1581,7985,7800.87,7814,634.65715204,"2018-02-05T08:00:00",4995833.35218099,"USDT-BTC"
7814,8040,7721,7860,385.39441244,"2018-02-05T09:00:00",3040550.39158524,"USDT-BTC"
7852.01000012,7948,7700,7703.00000003,361.25258696,"2018-02-05T10:00:00",2815017.67306011,"USDT-BTC"
7703.00000003,7760.59300002,7511,7513,596.35307745,"2018-02-05T11:00:00",4544836.23189645,"USDT-BTC"
7513,7818.56015151,7512,7730,443.03955525,"2018-02-05T12:00:00",3386408.06838735,"USDT-BTC"
7730,7750,7520,7654.286,301.27617469,"2018-02-05T13:00:00",2309670.05996705,"USDT-BTC"
7652.286,7658,7321,7351.21500005,789.71281906,"2018-02-05T14:00:00",5860756.76128169,"USDT-BTC"
7330.00000003,7542.4,7222,7392,730.6796407,"2018-02-05T15:00:00",5371379.47231245,"USDT-BTC"
7392,7505.49999999,7267.08402531,7267.08402531,392.99378475,"2018-02-05T16:00:00",2903640.14494697,"USDT-BTC"
7273.56,7350,7090,7090,452.42153299,"2018-02-05T17:00:00",3262009.07882518,"USDT-BTC"
7090,7249.4,6960.835,6960.83500001,896.02231393,"2018-02-05T18:00:00",6340333.15461004,"USDT-BTC"
6960.83500001,7045.051,6662,6685,1252.92889554,"2018-02-05T19:00:00",8563137.15253315,"USDT-BTC"
6685,7509.98999999,6652.88386045,7207,1864.66166388,"2018-02-05T20:00:00",13319099.94982917,"USDT-BTC"
7200.00000001,7367.30794652,6990.00000001,7150,713.72838297,"2018-02-05T21:00:00",5106367.73741845,"USDT-BTC"
7150,7334.99999999,6845,6850,552.14431017,"2018-02-05T22:00:00",3913699.49455895,"USDT-BTC"
6845,7000.512,6740.00000001,6960,552.03690074,"2018-02-05T23:00:00",3786564.10442066,"USDT-BTC"
6968.07228915,7135,6765.31007951,6992,448.17642711,"2018-02-06T00:00:00",3145010.49048159,"USDT-BTC"
6991.96,6991.96,6447.4791818,6447.4791818,844.52449533,"2018-02-06T01:00:00",5611321.14066142,"USDT-BTC"
6450,6639.99999999,6360.00000001,6370,809.01902352,"2018-02-06T02:00:00",5231857.89839399,"USDT-BTC"
6370,6400.01000001,6201,6345.37762692,804.91939204,"2018-02-06T03:00:00",5047025.06412679,"USDT-BTC"
6345,6371.3,6120,6120,614.54844127,"2018-02-06T04:00:00",3804738.25591586,"USDT-BTC"
6120,6709,6050,6539.26050004,1116.43289705,"2018-02-06T05:00:00",7094386.2991824,"USDT-BTC"
6539.26050004,6540,6120,6261.00000005,537.28855976,"2018-02-06T06:00:00",3355239.7005571,"USDT-BTC"
6261.00000005,6365.61,6001,6008.11,787.81892883,"2018-02-06T07:00:00",4825422.91370668,"USDT-BTC"
6008.11,6324.99999999,6003,6178.0999,777.68735593,"2018-02-06T08:00:00",4811597.95446962,"USDT-BTC"
6178.09989999,6980.37020573,6171.07999998,6680.00000003,1313.52888651,"2018-02-06T09:00:00",8707887.84788521,"USDT-BTC"
6680.00000003,6872,6407.21,6479.235,791.93778077,"2018-02-06T10:00:00",5253940.41713531,"USDT-BTC"
6479.235,6592.94055876,6298.34663539,6535.11,464.6628189,"2018-02-06T11:00:00",2969197.93729114,"USDT-BTC"
6537,6844,6456.01,6731.85684074,640.45273782,"2018-02-06T12:00:00",4279779.35801236,"USDT-BTC"
6744.00000004,7198.128986,6702.00000002,7158.99999996,1187.25176503,"2018-02-06T13:00:00",8266129.05362994,"USDT-BTC"
7158.99999996,7299.65684707,6870.38690931,7181.00000002,1124.20042064,"2018-02-06T14:00:00",7954397.94682652,"USDT-BTC"
7181.00000002,7499.99,7055.00000003,7283,1205.36719127,"2018-02-06T15:00:00",8807468.8473771,"USDT-BTC"
7283,7444.98,6950,7120,800.59016441,"2018-02-06T16:00:00",5708465.15289142,"USDT-BTC"
7120,7133.85999999,6780.0001,7000,615.23341205,"2018-02-06T17:00:00",4255642.65334149,"USDT-BTC"
7012.75319714,7199,6895.536,7190,457.78742705,"2018-02-06T18:00:00",3250558.17377013,"USDT-BTC"
7190,7602.8832,7185,7500,740.20305226,"2018-02-06T19:00:00",5465174.8693064,"USDT-BTC"
7500,7777,7420.25932038,7472,1175.81355857,"2018-02-06T20:00:00",8954154.79295072,"USDT-BTC"
7480,7878.9,7472,7749.07890399,690.1785076,"2018-02-06T21:00:00",5336471.52457452,"USDT-BTC"
7749.07890399,7799.88999999,7453,7618.9,535.27209677,"2018-02-06T22:00:00",4066815.25408125,"USDT-BTC"
7620,7865,7545.99,7699,350.55891663,"2018-02-06T23:00:00",2704034.65946113,"USDT-BTC"
7699,7778.1,7407.2,7559.9,399.80740622,"2018-02-07T00:00:00",3017764.90120899,"USDT-BTC"
7558.9999,7700.1,7479.9,7558.10000006,255.03688105,"2018-02-07T01:00:00",1938329.27478475,"USDT-BTC"
7558.10000006,7685.9,7263,7273.62482291,394.69897526,"2018-02-07T02:00:00",2923236.3075386,"USDT-BTC"
7300,7388.51000002,7174.67553317,7210.24999998,367.61604717,"2018-02-07T03:00:00",2672859.31433819,"USDT-BTC"
7210.24999998,7615.99999999,7150.726749,7477.51383457,419.47722473,"2018-02-07T04:00:00",3095596.66056358,"USDT-BTC"
7477.51383457,7519.79999993,7300,7430,295.39939848,"2018-02-07T05:00:00",2193207.63601963,"USDT-BTC"
7429.98999999,7447.93965693,7248.00000002,7447.93965693,189.03289671,"2018-02-07T06:00:00",1387134.96443331,"USDT-BTC"
7447.93965693,7755,7340.99,7680,275.50997123,"2018-02-07T07:00:00",2085642.9861256,"USDT-BTC"
7678.71849776,7800.001,7563,7645,341.37734566,"2018-02-07T08:00:00",2620925.58469721,"USDT-BTC"
7649,7999.2562484,7646.8927,7939.99000001,510.88806617,"2018-02-07T09:00:00",4027008.20119118,"USDT-BTC"
7950,8200.125,7898.23000002,8186.1,710.14383908,"2018-02-07T10:00:00",5758474.80381999,"USDT-BTC"
8180,8300,8001.00000001,8200,834.31590495,"2018-02-07T11:00:00",6817684.33411542,"USDT-BTC"
8209.00000005,8432.40011402,8050.99999999,8300,496.90165992,"2018-02-07T12:00:00",4080402.11895038,"USDT-BTC"
8299.98,8520,8250,8251.00000003,675.26719608,"2018-02-07T13:00:00",5679623.75744741,"USDT-BTC"
8251.00000004,8350,8060,8208.99999999,594.05448384,"2018-02-07T14:00:00",4864445.29167207,"USDT-BTC"
8208.99999998,8304.4378197,8020,8169.25626666,409.42854434,"2018-02-07T15:00:00",3333682.05575128,"USDT-BTC"
8169.25626666,8200,7920.5,7963.5,465.68353297,"2018-02-07T16:00:00",3736868.20408612,"USDT-BTC"
7963.5,8304.4378197,7963.5,8261.20000001,481.94917813,"2018-02-07T17:00:00",3932120.91942559,"USDT-BTC"
8261.20000001,8413,8225.00000001,8225.00000001,279.73371492,"2018-02-07T18:00:00",2325565.95608893,"USDT-BTC"
8225.00000001,8259.99,8051,8098.00000001,200.24618216,"2018-02-07T19:00:00",1627770.97862135,"USDT-BTC"
8100,8211,7950,8123.22983768,392.31307109,"2018-02-07T20:00:00",3171779.05773258,"USDT-BTC"
8123.22983768,8250,8039,8095.03311032,171.03518225,"2018-02-07T21:00:00",1393268.44191635,"USDT-BTC"
8081.0000003,8100.94999998,7781,7829.40000003,604.06832214,"2018-02-07T22:00:00",4772099.71725316,"USDT-BTC"
7829.40000003,7829.40000003,7554,7575.69999996,706.28387796,"2018-02-07T23:00:00",5412467.06271333,"USDT-BTC"
7588.99999999,7863.94,7588.99999999,7716.22500001,409.37201909,"2018-02-08T00:00:00",3165642.61958758,"USDT-BTC"
7716.22500001,7950.40000119,7600,7890,421.73032045,"2018-02-08T01:00:00",3269886.06044023,"USDT-BTC"
7871.00000001,8200,7871.00000001,8002.06978895,339.72155842,"2018-02-08T02:00:00",2736047.71657738,"USDT-BTC"
8018.91906698,8089.98999999,7883.11498289,7970,171.77312913,"2018-02-08T03:00:00",1374868.85184916,"USDT-BTC"
7970.00000001,8247.18461539,7934.99999999,8179.59999999,220.66461055,"2018-02-08T04:00:00",1798254.44775217,"USDT-BTC"
8165.79999999,8232.78999993,7999.20000001,8000.00000005,156.54932375,"2018-02-08T05:00:00",1267598.39468034,"USDT-BTC"
8000.10000005,8063,7889,8024.48,215.1559917,"2018-02-08T06:00:00",1712028.9434522,"USDT-BTC"
8029.54868404,8350.82499998,8015.00000003,8301.00000001,396.31686002,"2018-02-08T07:00:00",3252048.99009901,"USDT-BTC"
8322.915,8350,8179,8275.99999995,374.76368334,"2018-02-08T08:00:00",3098040.89064294,"USDT-BTC"
8274,8344.00000001,8150,8324,236.2025261,"2018-02-08T09:00:00",1947376.70989139,"USDT-BTC"
8324,8639.9076923,8305.00000013,8599.99999999,880.33659563,"2018-02-08T10:00:00",7485452.27167018,"USDT-BTC"
